asset_id,category,asset_type,model_name,image_url,unit,mission_criticality,commission_date,total_operating_cycles,last_service_date,simulated_signature,is_clean_control
AC-1024,Vehicles,Military Truck,Swaraj Mazda Gun Towing Truck,/images/assets/swaraj_mazda.jpg,50th Tactical Logistics Regiment,1.4,2023-01-11,154,2024-10-23,bearing_gearbox,False
AC-1025,Vehicles,Fuel Vehicle,Tactical Airfield Fuel Bowser 6x6,/images/assets/fuel_vehicle.jpg,3rd Armoured Brigade,1.6,2022-09-06,157,2024-11-04,turbine_thermal,False
AC-1026,Vehicles,Transport Vehicle,Troop Carrier Heavy Transport,/images/assets/tatra_8x8.jpg,7th Mechanized Recon Cavalry,1.3,2023-02-04,173,2024-09-24,hydraulic_fuel,False
AC-1027,Aircraft,Fighter Jet,Rafale DH,/images/assets/rafale_dh.jpg,22nd Heavy Cargo Airlift Wing,3.0,2021-11-01,107,2024-10-09,bearing_gearbox,False
AC-1028,Aircraft,Transport Plane,C-130J Super Hercules,/images/assets/c130j_hercules.jpg,12th Air Surveillance Squadron,2.5,2023-02-13,198,2024-10-17,turbine_thermal,False
AC-1029,Aircraft,Surveillance Plane,Phalcon AWACS,/images/assets/phalcon_awacs.jpg,101st Tactical Fighter Squadron,2.8,2022-12-13,268,2024-12-01,hydraulic_fuel,False
AC-1030,Aircraft,Cargo Plane,IL-76 Gajraj Heavy Lifter,/images/assets/il76_gajraj.jpg,4th Strike Fighter Wing,2.6,2022-01-25,180,2024-11-26,bearing_gearbox,False
AC-1031,Helicopters,Transport Helicopter,Mi-17V-5 Tactical Transport,/images/assets/transport_helicopter.jpg,82nd Airborne Combat Aviation,2.2,2023-03-24,155,2024-11-11,turbine_thermal,False
AC-1032,Helicopters,Attack Helicopter,LCH Prachand Combat Heli,/images/assets/lch_prachand.jpg,10th Mountain Aviation Support,2.8,2023-05-01,161,2024-10-09,hydraulic_fuel,False
AC-1033,Helicopters,Rescue Helicopter,Chetak Search & Rescue,/images/assets/chetak_sar.jpg,15th Tactical Helicopter Squadron,2.0,2023-01-25,118,2024-10-08,bearing_gearbox,False
AC-1034,Helicopters,Medical Helicopter,Mi-17 MEDEVAC Unit,/images/assets/transport_helicopter.jpg,82nd Airborne Combat Aviation,2.2,2023-07-04,204,2024-11-02,turbine_thermal,False
AC-1035,Vehicles,Tank,Arjun Mk-1A Heavy Tank,/images/assets/arjun_mk1a.jpg,7th Mechanized Recon Cavalry,2.0,2023-09-08,100,2024-11-10,hydraulic_fuel,False
AC-1036,Vehicles,Armored Vehicle,WhAP 8x8 Armoured Carrier,/images/assets/whap_8x8.jpg,50th Tactical Logistics Regiment,1.8,2023-03-25,198,2024-11-01,bearing_gearbox,False
AC-1037,Vehicles,Military Truck,Ashok Leyland Stallion 4x4,/images/assets/military_truck.jpg,3rd Armoured Brigade,1.4,2023-01-20,90,2024-10-23,turbine_thermal,False
AC-1038,Vehicles,Fuel Vehicle,Heavy Refueler Tanker Bowser,/images/assets/fuel_vehicle.jpg,7th Mechanized Recon Cavalry,1.6,2023-11-21,187,2024-12-02,hydraulic_fuel,False
AC-1039,Vehicles,Transport Vehicle,Airfield Equipment Tug,/images/assets/airfield_tug.jpg,50th Tactical Logistics Regiment,1.3,2023-08-10,140,2024-11-28,bearing_gearbox,False
AC-1040,Aircraft,Fighter Jet,Mirage 2000,/images/assets/mirage_2000.jpg,12th Air Surveillance Squadron,3.0,2021-12-03,150,2024-10-05,turbine_thermal,False
